"ID","ID","NAME","START_AT","END_AT","ARTWORKS_COUNT","PARTNERS_COUNT","ARTISTS_COUNT","PARTNER_SHOWS_COUNT","PUBLISHED","STATUS"
"a0TM000000AUlw6MAD","528c7ea9139b21fe730002ff","Abu Dhabi Art 2013","2013-11-19 23:00:00.0","2013-11-22 23:00:00.0","18","2","10","2","true","Item Updated"
"a0TM000000AUlw7MAD","52938e4ac9dc2415e8000001","LA Art Show ","2014-01-15 05:00:00.0","2014-01-19 05:00:00.0","68","5","23","6","true","Item Updated"
"a0TM000000AUlw8MAD","527d609b139b210bab00026c","NADA Miami Beach 2013","2013-12-05 05:00:00.0","2013-12-08 05:00:00.0","472","58","195","58","true","Item Updated"
"a0TM000000AUlw9MAD","52d55172a09a67bf6e00003e","Art Aspen 2012","2012-08-02 04:00:00.0","2012-08-05 04:00:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlwAMAT","52d5a758b202a3e5fb00018e","photo l.a. 2013","2013-01-17 05:00:00.0","2013-01-21 05:00:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlwBMAT","52de9bae275b24d1b0000481","The International Fine Art and Antiques Dealers Show 2013","2013-10-25 04:00:00.0","2013-10-31 04:00:00.0","16","1","10","1","true","Item Updated"
"a0TM000000AUlwCMAT","52debbf5c9dc24f2a6000052","Art14 London","2014-02-28 05:00:00.0","2014-03-02 05:00:00.0","135","14","51","14","true","Item Updated"
"a0TM000000AUlwDMAT","52f0fcd8a09a67cc390007ef","artgenève 2014","2014-01-30 05:00:00.0","2014-02-02 05:00:00.0","16","1","3","1","true","Item Updated"
"a0TM000000AUlwEMAT","52f8e14a275b24ba38000080","art KARLSRUHE 2014","2014-03-12 23:00:00.0","2014-03-15 23:00:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlwFMAT","52fd17dec9dc240bda0004bd","Moving Image New York 2014","2014-03-06 05:00:00.0","2014-03-09 05:00:00.0","29","19","24","19","true","Item Updated"
"a0TM000000AUlwGMAT","53089d289c18db5919000169","VOLTA NY 2014","2014-03-06 18:00:00.0","2014-03-09 12:43:00.0","43","10","11","10","true","Item Updated"
"a0TM000000AUlwHMAT","505797122a5b7500020006a0","The Armory Show 2013","2013-03-07 05:00:00.0","2013-03-10 05:00:00.0","1001","119","427","119","true","Item Updated"
"a0TM000000AUlwIMAT","5314a9d4c9dc24f46100022f","Love Art Toronto","2014-05-07 04:00:00.0","2014-05-12 03:59:00.0","15","2","7","2","true","Item Updated"
"a0TM000000AUlwJMAT","5124121056c54840370005bc","TEFAF Maastricht 2013","2013-03-15 04:00:00.0","2013-03-24 04:00:00.0","14","1","11","1","true","Item Updated"
"a0TM000000AUlwKMAT","51c483e18b3b81fe1d0002a3","Masterpiece London 2013","2013-06-27 04:00:00.0","2013-07-03 04:00:00.0","12","3","10","3","true","Item Updated"
"a0TM000000AUlwLMAT","533343a5139b211ffd0005c9","AIPAD Photography Show 2014","2014-04-10 04:00:00.0","2014-04-14 03:59:00.0","66","5","36","5","true","Item Updated"
"a0TM000000AUlwMMAT","533c10fd275b24b46500001c","Art Cologne 2014","2014-04-10 13:28:00.0","2014-04-13 13:28:00.0","134","6","43","6","true","Item Updated"
"a0TM000000AUlwNMAT","534047688b3b812e600003cf","Artshow Busan 2014","2014-04-05 18:11:00.0","2014-04-05 18:11:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlwOMAT","50eead28cf9257ca730005d2","Art Dubai 2013","2013-03-19 04:00:00.0","2013-03-22 04:00:00.0","30","4","11","4","true","Item Updated"
"a0TM000000AUlwPMAT","5310c908cb4c27f0b700008b","PAD Paris 2012","2012-03-21 16:33:00.0","2012-04-01 16:33:00.0","0","0","0","0","false","Item Updated"
"a0TM000000AUlwQMAT","52f0065f7622ddf61e000126","Art Rotterdam 2014","2014-02-06 05:00:00.0","2014-02-09 05:00:00.0","4","1","4","1","true","Item Updated"
"a0TM000000AUlwRMAT","5310c953b202a33974000086","PAD Paris 2013","2013-03-26 16:36:00.0","2013-04-01 16:36:00.0","0","0","0","0","false","Item Updated"
"a0TM000000AUlwSMAT","534d81d3c9dc247df4000236","Downtown Fair 2014","2014-05-08 07:01:00.0","2014-05-11 06:59:00.0","153","15","75","15","true","Item Updated"
"a0TM000000AUlwTMAT","535ee3668b3b81bf81000438","ArtHamptons 2014","2014-07-10 23:22:00.0","2014-07-13 23:22:00.0","92","9","31","9","true","Item Updated"
"a0TM000000AUlwUMAT","534fdf7fa09a674f030002a6","cutlog New York 2014","2014-05-08 07:01:00.0","2014-05-12 06:59:00.0","14","2","5","2","true","Item Updated"
"a0TM000000AUlwVMAT","5363e5911a1e86455a000127","Salon Zürcher","2014-05-05 18:35:00.0","2014-05-12 18:35:00.0","9","1","2","1","true","Item Updated"
"a0TM000000AUlwWMAT","53bc185d7261690429a01700","Art Hamptons","2014-07-10 04:01:00.0","2014-07-14 03:59:00.0","37","2","7","2","true","Item Updated"
